city,date,percentage
Barcelona,2020-07-26,36
Barcelona,2020-07-27,41
Barcelona,2020-07-28,39
Barcelona,2020-07-29,39
Barcelona,2020-07-30,37
Barcelona,2020-07-31,36
Barcelona,2020-08-01,36
Barcelona,2020-08-02,34
Barcelona,2020-08-03,41
Barcelona,2020-08-04,37
Barcelona,2020-08-05,38
Barcelona,2020-08-06,37
Barcelona,2020-08-07,36
Barcelona,2020-08-08,36
Barcelona,2020-08-09,35
Barcelona,2020-08-10,37
Barcelona,2020-08-11,35
Barcelona,2020-08-12,38
Barcelona,2020-08-13,36
Barcelona,2020-08-14,35
Barcelona,2020-08-15,34
Barcelona,2020-08-16,35
Barcelona,2020-08-17,38
Barcelona,2020-08-18,37
Barcelona,2020-08-19,37
Barcelona,2020-08-20,34
Barcelona,2020-08-21,34
Barcelona,2020-08-22,36
Barcelona,2020-08-23,34
Barcelona,2020-08-24,37
Barcelona,2020-08-25,37
Barcelona,2020-08-26,39
Barcelona,2020-08-27,37
Barcelona,2020-08-28,35
Barcelona,2020-08-29,30
Barcelona,2020-08-30,33
Barcelona,2020-08-31,42
Barcelona,2020-09-01,42
Barcelona,2020-09-02,42
Barcelona,2020-09-03,41
Barcelona,2020-09-04,40
Barcelona,2020-09-05,39
Barcelona,2020-09-06,40
Barcelona,2020-09-07,46
Barcelona,2020-09-08,46
Barcelona,2020-09-09,48
Barcelona,2020-09-10,46
Barcelona,2020-09-11,35
Barcelona,2020-09-12,40
Barcelona,2020-09-13,43
Barcelona,2020-09-14,56
Barcelona,2020-09-15,51
Barcelona,2020-09-16,53
Barcelona,2020-09-17,49
Barcelona,2020-09-18,48
Barcelona,2020-09-19,47
Barcelona,2020-09-20,46
Barcelona,2020-09-21,55
Barcelona,2020-09-22,55
Barcelona,2020-09-23,56
Barcelona,2020-09-24,44
Barcelona,2020-09-25,44
Barcelona,2020-09-26,45
Barcelona,2020-09-27,38
Barcelona,2020-09-28,54
Barcelona,2020-09-29,51
